date, pm25, pm10, o3, no2, so2, co
2024/5/20, 78, 65, 56, 66, 27, 27
2024/5/21, 77, 70, 62, 65, 34, 38
2024/5/22, 92, 67, 62, 59, 27, 27
2024/5/23, 90, 55, 60, 68, 16, 31
2024/5/24, 74, 58, 60, 59, 17, 32
2024/5/25, 70, 63, 54, 62, 12, 29
2024/5/26, 71, 56, 66, 65, 15, 31
2024/5/27, 71, 68, 66, 89, 28, 47
2024/5/28, 91, 73, 71, 86, 45, 35
2024/5/29, 98, 76, 75, 98, 34, 55
2024/5/30, 113, 81, 75, 103, 34, 53
2024/5/31, 121, 76, 56, 81, 23, 28
2024/6/2, 102, 112, 66, 57, 15, 19
2024/6/3, 116, 73, 66, 68, 40, 27
2024/6/4, 101, 87, 58, 91, 44, 35
2024/6/5, 110, 70, 58, 80, 34, 28
2024/6/6, 90, 57, , 64, 13, 32
2024/6/7, 78, 58, 52, 80, 15, 48
2024/6/8, 78, 56, 52, 85, 15, 51
2024/6/9, 75, 85, 57, 89, 13, 41
2024/6/10, 98, 127, 57, 86, 10, 16
2024/6/11, 125, 93, 74, 74, 13, 29
2024/6/12, 109, 91, 74, 105, 16, 51
2024/6/13, 123, , , , , 
2024/6/15, 97, , , , , 
2024/6/20, 85, 52, 59, 97, 24, 15
2024/6/21, 95, 49, 62, 76, 18, 29
2024/6/22, 115, 70, 58, 54, 22, 39
2024/6/23, 156, 57, , 62, 25, 38
2024/6/24, 120, , , , , 
2024/1/1, 153, 100, , 87, 64, 57
2024/1/2, 159, 96, , 103, 27, 53
2024/1/3, 158, 79, , 79, 53, 44
2024/1/4, 150, , , , , 
2024/1/6, 92, 62, , 53, 48, 27
2024/1/7, 75, 72, , 100, 64, 65
2024/1/10, 145, , , , , 
2024/1/17, 120, 71, , 91, 57, 48
2024/1/18, 132, 68, , 97, 32, 66
2024/1/19, 140, 76, , 103, 34, 61
2024/1/20, 156, 82, , 105, 52, 54
2024/1/21, 158, 79, , 101, 39, 52
2024/1/22, 151, 78, , 101, 43, 40
2024/1/23, 148, 56, , 48, 18, 40
2024/1/24, 144, 53, , 75, 19, 61
2024/1/25, 101, 61, , 67, 31, 40
2024/1/26, 147, 60, , 59, 31, 30
2024/1/27, 155, 55, , 57, 21, 37
2024/1/28, 150, 40, , 60, 48, 38
2024/1/29, 73, , , , , 
2024/1/31, 103, , , , , 
2024/2/2, 87, 35, , 55, 32, 35
2024/2/3, 84, 52, , 62, 43, 33
2024/2/4, 106, , , , , 
2024/2/6, 109, 33, , 49, 29, 27
2024/2/7, 62, 51, , 62, 38, 50
2024/2/8, 91, , , , , 
2024/2/10, 146, 69, , 85, 37, 44
2024/2/11, 133, 81, , 103, 45, 53
2024/2/12, 159, 74, , 96, 55, 40
2024/2/13, 149, 84, , 102, 52, 47
2024/2/14, 156, 86, , 102, 38, 47
2024/2/15, 154, 54, , 86, 27, 33
2024/2/16, 108, 28, , 70, 18, 37
2024/2/17, 80, 32, , 76, 25, 38
2024/2/18, 51, 43, , 53, 34, 35
2024/2/19, 83, 57, , 62, 28, 41
2024/2/20, 131, 66, , 74, 25, 49
2024/2/21, 154, 69, , 78, 22, 34
2024/2/22, 150, , , 78, 20, 38
2024/2/23, 147, , , 75, 56, 37
2024/2/24, 142, , , 36, 38, 33
2024/2/25, 116, , , 6, 20, 33
2024/2/26, 78, 42, , 39, 35, 31
2024/2/27, 82, 37, , 56, 21, 31
2024/2/28, 89, 35, , 55, 35, 31
2024/2/29, 85, 48, , 54, 48, 34
2024/3/1, 92, 50, , 74, 34, 34
2024/3/2, 111, 60, , 91, 32, 38
2024/3/3, 136, 70, , 99, 32, 45
2024/3/4, 152, 56, , 70, 22, 30
2024/3/5, 147, 64, , 73, 22, 39
2024/3/6, 154, 78, , 96, 46, 58
2024/3/7, 154, 58, , 85, 36, 36
2024/3/8, 103, 57, , 76, 29, 40
2024/3/9, 105, 57, , 75, 29, 57
2024/3/10, 96, , , , , 
2024/3/12, 119, 99, , 80, 40, 52
2024/3/13, 167, 75, , 100, 25, 48
2024/3/14, 139, 55, , 86, 17, 34
2024/3/15, 85, 53, , 79, 15, 41
2024/3/16, 77, 69, , 75, 17, 55
2024/3/17, 132, 69, , 86, 20, 63
2024/3/18, 121, 59, , 73, 22, 35
2024/3/19, 89, 46, , 59, 17, 40
2024/3/20, 71, 24, , 50, 12, 24
2024/3/21, 40, 40, , 68, 13, 49
2024/3/22, 77, 38, , 74, 14, 34
2024/3/23, 72, 47, , 71, 16, 55
2024/3/24, 87, 58, , 60, 16, 26
2024/3/25, 68, 32, , 53, 11, 32
2024/3/26, 57, 57, , 52, 12, 29
2024/3/27, 69, 38, , 52, 13, 28
2024/3/28, 61, 37, , 58, 17, 32
2024/3/29, 64, 48, , 77, 21, 41
2024/3/30, 74, 51, , 75, 19, 36
2024/3/31, 69, 54, 52, 70, 14, 32
2023/10/1, 79, 68, , 83, 26, 72
2023/10/2, 106, 71, , 65, 26, 42
2023/10/3, 100, 68, , 58, 17, 30
2023/10/4, 76, 58, , 53, 16, 33
2023/10/5, 71, 57, , 58, 16, 30
2023/10/6, 59, 55, , 75, 20, 62
2023/10/7, 65, 69, , 91, 21, 64
2023/10/8, 92, 65, , 86, 26, 48
2023/10/9, 80, 76, , 103, 26, 79
2023/10/10, 117, 78, , 94, 18, 56
2023/10/11, 108, 77, , 83, 18, 45
2023/10/12, 101, 55, , 53, 15, 27
2023/10/13, 89, 59, , 71, 16, 55
2023/10/14, 135, 69, , 79, 24, 42
2023/10/15, 104, 80, , 100, 23, 65
2023/10/16, 129, 62, , 72, 17, 35
2023/10/17, 91, 63, , 80, 17, 41
2023/10/18, 89, 60, , 76, 39, 53
2023/10/19, 80, 71, , 76, 29, 63
2023/10/20, 102, 71, , 66, 18, 55
2023/10/21, 107, 75, , 91, 18, 63
2023/10/22, 100, 87, , 79, 21, 55
2023/10/23, 117, 78, , 77, 23, 52
2023/10/24, 97, 83, , 82, 19, 52
2023/10/25, 111, 89, , 92, 19, 61
2023/10/26, 138, 89, , 88, 20, 67
2023/10/27, 137, 82, , 84, 20, 77
2023/10/28, 127, , , , , 
2023/10/31, 112, 89, , 99, 20, 72
2023/11/1, 119, 111, , 65, 18, 37
2023/11/2, 138, 78, , 64, 16, 35
2023/11/3, 122, 68, , 61, 17, 47
