date, pm25, pm10, o3, no2, so2, co
2022/9/11, 92, , , 87, 38, 26
2022/9/12, 91, , , 88, 36, 25
2022/9/13, 76, , , 102, 53, 42
2022/9/14, 86, , , 102, 50, 42
2022/9/15, 117, , , 82, 39, 29
2022/9/16, 110, , , 96, 39, 49
2022/9/17, 99, , , 104, 39, 45
2022/9/18, 120, , , 102, 44, 38
2022/9/19, 91, , , 106, 45, 39
2022/9/20, 94, , , 101, 38, 30
2022/9/21, 87, , , 98, 37, 42
2022/9/22, 93, , , , , 
2022/4/1, 104, , , 76, 10, 
2022/4/2, 126, , , 80, 14, 
2022/4/3, 132, , , 83, 9, 
2022/4/4, 113, , , 72, 9, 
2022/4/5, 111, , , 66, 9, 
2022/4/6, 106, , , 73, 10, 
2022/4/7, 136, , , 38, 8, 
2022/4/8, 208, , , 82, 10, 
2022/4/9, 193, , , 44, 8, 
2022/4/10, 123, , , 59, 9, 
2022/4/11, 97, , , 87, 10, 
2022/4/12, 145, , , 81, 10, 20
2022/4/13, 142, , , 102, 63, 35
2022/4/14, 138, , , 88, 71, 21
2022/4/15, 102, , , 81, 63, 24
2022/4/16, 86, , , 78, 36, 22
2022/4/17, 86, , , 81, 12, 23
2022/4/18, 74, , , 102, 27, 28
2022/4/19, 87, , , 110, 35, 36
2022/4/20, 100, , , 101, 13, 25
2022/4/21, 109, , , 75, 11, 19
2022/4/22, 93, , , 100, 13, 32
2022/4/23, 100, , , 104, 12, 29
2022/4/24, 94, , , 102, 8, 25
2022/4/25, 87, , , 103, 9, 27
2022/4/26, 141, , , 105, 11, 29
2022/4/27, 110, , , 95, 11, 25
2022/4/28, 108, , , 84, 12, 27
2022/4/29, 113, , , 64, 12, 21
2022/4/30, 97, , , 76, 10, 23
2022/5/1, 106, , , 64, 11, 20
2022/5/2, 86, , , 46, 12, 18
2022/5/3, 89, , , 58, 10, 20
2022/5/4, 89, , , 76, 10, 22
2022/5/5, 96, , , 60, 9, 20
2022/5/6, 87, , , 65, 14, 24
2022/5/7, 124, , , 74, 21, 24
2022/5/8, 147, , , 63, 20, 20
2022/5/9, 104, , , 76, 11, 26
2022/5/10, 86, , , 94, 15, 28
2022/5/11, 111, , , 79, 13, 21
2022/5/12, 110, , , 48, 12, 16
2022/5/13, 79, , , 54, 13, 20
2022/5/14, 71, , , 99, 13, 30
2022/5/15, 78, , , 103, 12, 31
2022/5/16, 96, , , 79, 14, 21
2022/5/17, 152, , , 57, 11, 19
2022/5/18, 131, , , 96, 12, 28
2022/5/19, 115, , , 99, 13, 30
2022/5/20, 108, , , 87, 13, 24
2022/5/21, 127, , , 66, 13, 19
2022/5/22, 127, , , 100, 13, 31
2022/5/23, 109, , , 71, 14, 21
2022/5/24, 142, , , 62, 13, 21
2022/5/25, 213, , , 64, 12, 20
2022/5/26, 188, , , 48, 13, 16
2022/5/27, 184, , , 100, 18, 31
2022/5/28, 190, , , 101, 16, 27
2022/5/29, 118, , , 95, 12, 25
2022/5/30, 72, , , 100, 12, 26
2022/5/31, 84, , , 94, 11, 27
2022/6/1, 74, , , 84, 10, 24
2022/6/2, 70, , , 80, 13, 24
2022/6/3, 78, , , 69, 18, 22
2022/6/4, 79, , , 80, 15, 26
2022/6/5, 88, , , 75, 15, 21
2022/6/6, 79, , , 66, 40, 24
2022/6/7, 88, , , 59, 14, 21
2022/6/8, 107, , , , , 
2022/6/10, 93, , , 79, 15, 19
2022/6/11, 91, , , 91, 19, 23
2022/6/12, 107, , , 93, 19, 25
2022/6/13, 95, , , 103, 32, 26
2022/6/14, 100, , , 103, 22, 18
2022/6/15, 116, , , 102, 27, 27
2022/6/16, 97, , , 74, 32, 17
2022/6/17, 94, , , 107, 26, 44
2022/6/18, 100, , , 98, 31, 26
2022/6/19, 98, , , 108, 31, 25
2022/6/20, 100, , , 65, 20, 19
2022/6/21, 96, , , 77, 22, 24
2022/6/22, 88, , , 68, 53, 23
2022/6/23, 120, , , 84, 22, 27
2022/6/24, 155, , , 90, 22, 30
2022/6/25, 134, , , 103, 42, 33
2022/6/26, 112, , , 103, 71, 37
2022/6/27, 139, , , 104, 77, 35
2022/6/28, 119, , , 103, 77, 45
2022/6/29, 134, , , 91, 41, 23
2022/6/30, 150, , , 63, 43, 27
2022/1/3, 76, , , 73, 30, 
2022/1/4, 58, , , 75, 27, 
2022/1/5, 64, , , 89, 27, 
2022/1/6, 78, , , 103, 44, 
2022/1/7, 117, , , 112, 36, 
2022/1/8, 128, , , 109, 30, 
2022/1/9, 133, , , 107, 29, 
2022/1/10, 135, , , 102, 31, 
2022/1/11, 116, , , 95, 32, 
2022/1/12, 94, , , 106, 35, 
2022/1/13, 118, , , 82, 28, 
2022/1/14, 78, , , 69, 21, 
2022/1/15, 57, , , 79, 21, 
2022/1/16, 57, , , 92, 25, 
2022/1/17, 54, , , , , 
2022/1/24, 141, , , 106, 39, 
2022/1/25, 183, , , 91, 28, 
2022/1/26, 168, , , 82, 24, 
2022/1/27, 123, , , 51, 25, 
2022/1/28, 65, , , 98, 26, 
2022/1/29, 143, , , 77, 27, 
2022/1/30, 110, , , 82, 29, 
2022/1/31, 106, , , 73, 26, 
2022/2/1, 143, , , 98, 33, 
2022/2/2, 164, , , 99, 37, 
2022/2/3, 160, , , 89, 29, 
2022/2/4, 169, , , 75, 25, 
2022/2/5, 108, , , 56, 31, 
2022/2/6, 74, , , 67, 23, 
2022/2/7, 103, , , 77, 24, 
2022/2/8, 99, , , 87, 22, 
2022/2/9, 111, , , 106, 16, 
2022/2/10, 148, , , 89, 14, 
2022/2/11, 129, , , 82, 12, 
2022/2/12, 142, , , 95, 15, 
2022/2/13, 153, , , 80, 11, 
2022/2/14, 118, , , 87, 13, 
2022/2/15, 113, , , 93, 13, 
2022/2/16, 141, , , 87, 12, 
2022/2/17, 138, , , 82, 12, 
2022/2/18, 125, , , 100, 12, 
2022/2/19, 144, , , 70, 9, 
2022/2/20, 83, , , 72, 9, 
2022/2/21, 93, , , 79, 10, 
2022/2/22, 113, , , 90, 11, 
2022/2/23, 133, , , 92, 12, 
2022/2/24, 130, , , 87, 11, 
2022/2/25, 112, , , 84, 10, 
2022/2/26, 85, , , 56, 10, 
2022/2/27, 70, , , 79, 11, 
2022/2/28, 98, , , 89, 11, 
2022/3/1, 109, , , 97, 12, 
2022/3/2, 128, , , 101, 15, 
2022/3/3, 130, , , 57, 9, 
2022/3/4, 101, , , 51, 9, 
2022/3/5, 73, , , 55, 10, 
2022/3/6, 71, , , 70, 9, 
2022/3/7, 109, , , 86, 8, 
2022/3/8, 102, , , 104, 9, 
2022/3/9, 156, , , 85, 10, 
2022/3/10, 82, , , 76, 10, 
2022/3/11, 94, , , 79, 9, 
2022/3/12, 91, , , 81, 9, 
2022/3/13, 98, , , 96, 10, 
2022/3/14, 131, , , 78, 11, 
2022/3/15, 108, , , 72, 9, 
2022/3/16, 117, , , 49, 10, 
2022/3/17, 64, , , 71, 12, 
2022/3/18, 68, , , 66, 10, 
2022/3/19, 81, , , 54, 9, 
2022/3/20, 73, , , 46, 9, 
2022/3/21, 92, , , 42, 9, 
2022/3/22, 101, , , 41, 10, 
2022/3/23, 78, , , 42, 9, 
2022/3/24, 86, , , 32, 7, 
2022/3/25, 75, , , 35, 7, 
2022/3/26, 66, , , 41, 7, 
2022/3/27, 70, , , 30, 7, 
2022/3/28, 75, , , 42, 8, 
2022/3/29, 90, , , 63, 9, 
2022/3/30, 78, , , 62, 9, 
2022/3/31, 88, , , 50, 8, 
2021/10/1, 107, , , 24, 22, 
2021/10/2, 66, , , 29, 23, 
2021/10/3, 81, , , 27, 32, 
2021/10/4, 71, , , 30, 24, 
2021/10/5, 80, , , 27, 26, 
2021/10/6, 77, , , 18, 22, 
2021/10/7, 68, , , 14, 19, 
2021/10/8, 55, , , 19, 21, 
2021/10/9, 55, , , 21, 25, 
2021/10/10, 73, , , 24, 24, 
2021/10/11, 63, , , 35, 28, 
2021/10/12, 86, , , 40, 23, 
2021/10/13, 85, , , 41, 24, 
2021/10/14, 104, , , 32, 27, 
2021/10/15, 83, , , 39, 27, 
2021/10/16, 88, , , 34, 23, 
2021/10/17, 82, , , 33, 24, 
2021/10/18, 84, , , 29, 25, 
2021/10/19, 82, , , 28, 26, 
2021/10/20, 91, , , 19, 28, 
2021/10/21, 55, , , 22, 52, 
2021/10/22, 59, , , 29, 27, 
2021/10/23, 60, , , 31, 25, 
2021/10/24, 61, , , 34, 36, 
2021/10/25, 80, , , 41, 27, 
2021/10/26, 82, , , 23, 22, 
2021/10/27, 72, , , 24, 32, 
2021/10/28, 72, , , 33, 37, 
2021/10/29, 88, , , 36, 22, 
2021/10/30, 79, , , 46, 39, 
2021/10/31, 124, , , 41, 51, 
2021/11/1, 87, , , 55, 42, 
2021/11/2, 134, , , 45, 36, 
2021/11/3, 126, , , 24, 21, 
2021/11/4, 54, , , 25, 17, 
2021/11/5, 45, , , 27, 18, 
2021/11/6, 50, , , 24, 19, 
2021/11/7, 49, , , 33, 21, 
2021/11/8, 97, , , 43, 22, 
2021/11/9, 131, , , 52, 28, 
2021/11/10, 132, , , 45, 24, 
2021/11/11, 121, , , 23, 21, 
2021/11/12, 61, , , 27, 22, 
2021/11/13, 65, , , 42, 25, 
2021/11/14, 110, , , 52, 24, 
2021/11/15, 131, , , 43, 22, 
2021/11/16, 126, , , 20, 19, 
2021/11/17, 47, , , 28, 21, 
2021/11/18, 70, , , 31, 33, 
2021/11/19, 97, , , 42, 29, 
2021/11/20, 130, , , 39, 24, 
2021/11/21, 139, , , 40, 27, 
2021/11/22, 140, , , 44, 25, 
2021/11/23, 109, , , 43, 25, 
2021/11/24, 94, , , 55, 30, 
2021/11/25, 132, , , 45, 31, 
2021/11/26, 114, , , 40, 23, 
2021/11/27, 91, , , 51, 30, 
2021/11/28, 124, , , 64, 33, 
2021/11/29, 152, , , , 32, 
2021/11/30, 150, , , , 29, 
2021/12/1, 148, , , , 24, 
2021/12/2, 118, , , , 18, 
2021/12/3, 34, , , , 22, 
2021/12/4, 69, , , 42, 35, 
2021/12/5, 131, , , 58, 23, 
2021/12/6, 140, , , 72, 32, 
2021/12/7, 125, , , 66, 27, 
2021/12/8, 122, , , 56, 29, 
2021/12/9, 128, , , 50, 22, 
2021/12/10, 116, , , 56, 37, 
2021/12/11, 91, , , 95, 34, 
2021/12/12, 136, , , 110, 31, 
2021/12/13, 142, , , 96, 29, 
2021/12/14, 122, , , 90, 25, 
2021/12/15, 118, , , 84, 25, 
2021/12/16, 88, , , 88, 27, 
2021/12/17, 100, , , 81, 23, 
2021/12/18, 89, , , 92, 21, 
2021/12/19, 80, , , 101, 57, 
2021/12/20, 108, , , 84, 33, 
2021/12/21, 88, , , 71, 26, 
2021/12/22, 79, , , 86, 23, 
2021/12/23, 76, , , 85, 32, 
2021/12/24, 80, , , 74, 24, 
2021/12/25, 67, , , 77, 28, 
2021/12/26, 72, , , 102, 29, 
2021/12/27, 104, , , 99, 27, 
2021/12/28, 114, , , 103, 26, 
2021/12/29, 107, , , 110, 30, 
2021/12/30, 140, , , 95, 29, 
2021/12/31, 118, , , 106, 40, 
2022/1/1, 143, , , 87, 28, 
2022/1/2, 92, , , 77, 25, 
2021/7/1, 58, , , 19, 19, 
2021/7/2, 57, , , 28, 21, 
2021/7/3, 103, , , 26, 22, 
2021/7/4, 126, , , 28, 18, 
2021/7/5, 87, , , 32, 22, 
2021/7/6, 95, , , 28, 23, 
2021/7/7, 116, , , 33, 22, 
2021/7/8, 145, , , 17, 20, 
2021/7/9, 130, , , 20, 20, 
2021/7/10, 143, , , 23, 21, 
2021/7/11, 180, , , 32, 22, 
2021/7/12, 149, , , 22, 19, 
2021/7/13, 150, , , 21, 19, 
2021/7/14, 124, , , 18, 19, 
2021/7/15, 149, , , 15, 19, 
2021/7/16, 143, , , 25, 21, 
2021/7/17, 132, , , 26, 20, 
2021/7/18, 95, , , 25, 18, 
2021/7/19, 118, , , 28, 19, 
2021/7/20, 111, , , 28, 22, 
2021/7/21, 87, , , 31, 22, 
2021/7/22, 86, , , 30, 22, 
2021/7/23, 102, , , 32, 20, 
2021/7/24, 141, , , 26, 20, 
2021/7/25, 98, , , 27, 20, 
2021/7/26, 72, , , 29, 20, 
2021/7/27, 63, , , 21, 20, 
2021/7/28, 60, , , 16, 24, 
2021/7/29, 85, , , 15, 24, 
2021/7/30, 71, , , 16, 18, 
2021/7/31, 59, , , 21, 18, 
2021/8/1, 54, , , 14, 19, 
2021/8/2, 46, , , 21, 19, 
2021/8/3, 67, , , 24, 20, 
2021/8/4, 59, , , 21, 22, 
2021/8/5, 62, , , 20, 22, 
2021/8/6, 60, , , 25, 19, 
2021/8/7, 62, , , 27, 19, 
2021/8/8, 59, , , 27, 19, 
2021/8/9, 60, , , 30, 20, 
2021/8/10, 58, , , 29, 22, 
2021/8/11, 69, , , 32, 26, 
2021/8/12, 66, , , 30, 23, 
2021/8/13, 70, , , 26, 22, 
2021/8/14, 78, , , 23, 22, 
2021/8/15, 79, , , 23, 21, 
2021/8/16, 82, , , 21, 22, 
2021/8/17, 64, , , 22, 21, 
2021/8/18, 80, , , 22, 21, 
2021/8/19, 62, , , 25, 20, 
2021/8/20, 72, , , 21, 22, 
2021/8/21, 75, , , 26, 22, 
2021/8/22, 86, , , 28, 22, 
2021/8/23, 79, , , 24, 21, 
2021/8/24, 69, , , 27, 21, 
2021/8/25, 65, , , 29, 20, 
2021/8/26, 70, , , 31, 22, 
2021/8/27, 89, , , 24, 24, 
2021/8/28, 72, , , 27, 27, 
2021/8/29, 81, , , 32, 24, 
2021/8/30, 75, , , 33, 24, 
2021/8/31, 84, , , 35, 23, 
2021/9/1, 74, , , 33, 20, 
2021/9/2, 68, , , 33, 22, 
2021/9/3, 83, , , 33, 22, 
2021/9/4, 104, , , 25, 22, 
2021/9/5, 102, , , 26, 21, 
2021/9/6, 99, , , 30, 22, 
2021/9/7, 72, , , 22, 21, 
2021/9/8, 80, , , 24, 21, 
2021/9/9, 87, , , 21, 20, 
2021/9/10, 95, , , 26, 21, 
2021/9/11, 76, , , 28, 21, 
2021/9/12, 75, , , 27, 20, 
2021/9/13, 74, , , 27, 20, 
2021/9/14, 68, , , 41, 22, 
2021/9/15, 62, , , 30, 23, 
2021/9/16, 68, , , 29, 23, 
2021/9/17, 67, , , 42, 30, 
2021/9/18, 106, , , 31, 24, 
2021/9/19, 93, , , 38, 22, 
2021/9/20, 89, , , 37, 25, 
2021/9/21, 92, , , 38, 26, 
2021/9/22, 108, , , 31, 23, 
2021/9/23, 86, , , 33, 25, 
2021/9/24, 101, , , 36, 25, 
2021/9/25, 96, , , 20, 22, 
2021/9/26, 110, , , 29, 21, 
2021/9/27, 114, , , 42, 19, 
2021/9/28, 103, , , 29, 22, 
2021/9/29, 97, , , , , 
2021/4/3, 60, , , 13, 18, 29
2021/4/4, 44, , , 25, 24, 34
2021/4/5, 74, , , 20, 20, 27
2021/4/6, 53, , , 24, 25, 27
2021/4/7, 64, , , 34, , 27
2021/4/8, 66, , , 22, , 29
2021/4/9, 54, , , 25, , 32
2021/4/10, 68, , , 16, , 25
2021/4/11, 61, , , 17, , 30
2021/4/12, 48, , , 25, , 34
2021/4/13, 60, , , 22, , 29
2021/4/14, 66, , , 22, , 28
2021/4/15, 58, , , 22, , 28
2021/4/16, 60, , , 24, , 26
2021/4/17, 56, , , 32, , 30
2021/4/18, 60, , , 32, , 32
2021/4/19, 62, , , 26, , 40
2021/4/20, 62, , , 35, , 34
2021/4/21, 72, , , 29, , 28
2021/4/22, 64, , , 21, , 25
2021/4/23, 74, , , 25, , 28
2021/4/24, 73, , , 23, , 27
2021/4/25, 58, , , 22, , 24
2021/4/26, 53, , , 20, , 29
2021/4/27, 60, , , 17, , 29
2021/4/28, 69, , , 15, , 35
2021/4/29, 44, , , 23, , 34
2021/4/30, 60, , , 28, , 30
2021/5/1, 56, , , 16, , 21
2021/5/2, 48, , , 17, , 21
2021/5/3, 38, , , 16, , 28
2021/5/4, 53, , , 22, , 34
2021/5/5, 58, , , 21, , 30
2021/5/6, 50, , , 20, , 29
2021/5/7, 44, , , 23, , 21
2021/5/8, 41, , , 23, , 31
2021/5/9, 47, , , 39, , 36
2021/5/10, 55, , , 22, , 31
2021/5/11, 33, , , 24, , 36
2021/5/12, 44, , , 20, , 30
2021/5/13, 48, , , 19, , 28
2021/5/14, 42, , , 22, , 34
2021/5/15, 38, , , 25, , 35
2021/5/16, 53, , , 26, , 28
2021/5/17, 37, , , 29, , 30
2021/5/18, 51, , , 27, , 31
2021/5/19, 55, , , 26, , 36
2021/5/20, 45, , , 25, , 42
2021/5/21, 44, , , 30, , 78
2021/5/22, 41, , , 26, , 130
2021/5/23, 50, , , 21, , 58
2021/5/24, 53, , , 25, , 
2021/5/25, 71, , , 20, , 
2021/5/26, 51, , , 23, , 
2021/5/27, 50, , , 27, , 
2021/5/28, 55, , , 30, , 
2021/5/29, 50, , , 37, , 
2021/5/30, 51, , , 29, , 
2021/5/31, 51, , , 30, , 
2021/6/1, 53, , , 41, , 
2021/6/2, 65, , , , , 
2021/6/5, 55, , , 23, 19, 25
2021/6/6, 65, , , 22, 20, 15
2021/6/7, 66, , , 32, 23, 20
2021/6/8, 56, , , 35, 23, 22
2021/6/9, 61, , , 31, 21, 18
2021/6/10, 59, , , 23, 20, 19
2021/6/11, 48, , , 40, 26, 34
2021/6/12, 71, , , 40, 25, 
2021/6/13, 75, , , 21, 20, 
2021/6/14, 71, , , 30, 23, 
2021/6/15, 136, , , 34, 26, 
2021/6/16, 123, , , 21, 21, 
2021/6/17, 118, , , 31, 20, 
2021/6/18, 84, , , 25, 22, 
2021/6/19, 75, , , 24, 22, 
2021/6/20, 61, , , 28, 21, 
2021/6/21, 68, , , 40, 33, 
2021/6/22, 77, , , , , 
2021/6/25, 60, , , 27, 21, 
2021/6/26, 59, , , 28, 21, 
2021/6/27, 62, , , 27, 18, 
2021/6/28, 56, , , 22, 20, 
2021/6/29, 53, , , 19, 19, 
2021/6/30, 57, , , 17, 20, 
2021/1/4, 124, , , 43, 26, 33
2021/1/5, 116, , , 61, 32, 34
2021/1/6, 165, , , 64, 34, 32
2021/1/7, 165, , , 59, 30, 31
2021/1/8, 165, , , 63, 28, 32
2021/1/9, 165, , , 77, 35, 39
2021/1/10, 172, , , 82, 32, 31
2021/1/11, 178, , , 74, 36, 21
2021/1/12, 178, , , 70, 36, 25
2021/1/13, 174, , , 68, 24, 30
2021/1/14, 169, , , 59, 23, 29
2021/1/15, 155, , , 69, 23, 42
2021/1/16, 139, , , 66, 23, 32
2021/1/17, 144, , , 55, 21, 31
2021/1/18, 134, , , 48, 19, 22
2021/1/19, 100, , , 58, 25, 25
2021/1/20, 110, , , 30, 19, 16
2021/1/21, 76, , , 29, 21, 20
2021/1/22, 60, , , 38, 23, 26
2021/1/23, 81, , , 50, 21, 27
2021/1/24, 113, , , 50, 22, 25
2021/1/25, 137, , , 37, 29, 25
2021/1/26, 144, , , 39, 28, 28
2021/1/27, 155, , , 39, 32, 35
2021/1/28, 157, , , 35, 31, 29
2021/1/29, 155, , , 27, 21, 26
2021/1/30, 90, , , 20, 19, 26
2021/1/31, 60, , , 25, 19, 32
2021/2/1, 76, , , 41, 26, 36
2021/2/2, 142, , , 42, 28, 32
2021/2/3, 156, , , 45, 24, 29
2021/2/4, 152, , , 36, 25, 24
2021/2/5, 147, , , 25, 19, 31
2021/2/6, 27, , , 29, 19, 33
2021/2/7, 115, , , 33, 20, 34
2021/2/8, 149, , , 41, 26, 36
2021/2/9, 148, , , 35, 25, 34
2021/2/10, 124, , , 31, 24, 33
2021/2/11, 116, , , 28, 20, 36
2021/2/12, 107, , , 37, 22, 37
2021/2/13, 114, , , 43, 25, 39
2021/2/14, 136, , , 44, 26, 38
2021/2/15, 129, , , 45, 24, 35
2021/2/16, 148, , , 33, 27, 28
2021/2/17, 116, , , 21, 20, 25
2021/2/18, 94, , , 14, 16, 26
2021/2/19, 45, , , 25, 19, 30
2021/2/20, 83, , , 32, 18, 39
2021/2/21, 155, , , 28, 17, 25
2021/2/22, 98, , , 22, 22, 24
2021/2/23, 95, , , 21, 25, 27
2021/2/24, 86, , , 16, 18, 30
2021/2/25, 82, , , 19, 16, 28
2021/2/26, 85, , , 26, 26, 29
2021/2/27, 107, , , 33, 22, 30
2021/2/28, 130, , , 34, 24, 27
2021/3/1, 129, , , 30, 21, 26
2021/3/2, 106, , , 33, 22, 34
2021/3/3, 114, , , 26, 21, 30
2021/3/4, 106, , , 17, 21, 28
2021/3/5, 73, , , 21, 23, 25
2021/3/6, 63, , , 28, 24, 31
2021/3/7, 96, , , 28, 27, 33
2021/3/8, 118, , , 34, 24, 34
2021/3/9, 115, , , 21, 21, 28
2021/3/10, 89, , , 28, 25, 35
2021/3/11, 115, , , 22, 20, 32
2021/3/12, 82, , , 17, 14, 28
2021/3/13, 59, , , 22, 22, 24
2021/3/14, 124, , , 28, 20, 30
2021/3/15, 158, , , 31, 29, 32
2021/3/16, 161, , , 29, 22, 30
2021/3/17, 161, , , 28, 20, 29
2021/3/18, 121, , , 21, 20, 26
2021/3/19, 87, , , , , 
2021/3/23, 100, , , 22, 22, 33
2021/3/24, 108, , , 18, 20, 33
2021/3/25, 148, , , 16, 19, 24
2021/3/26, 121, , , 16, 19, 25
2021/3/27, 136, , , 9, 18, 28
2021/3/28, 50, , , 16, 21, 30
2021/3/29, 68, , , 21, 23, 27
2021/3/30, 72, , , , , 
2020/10/1, 95, , , 50, 24, 32
2020/10/2, 98, , , 50, 21, 30
2020/10/3, 113, , , 34, 18, 30
2020/10/4, 90, , , 58, 19, 28
2020/10/5, 76, , , 41, 15, 26
2020/10/6, 86, , , 28, 23, 32
2020/10/7, 64, , , 31, 17, 29
2020/10/8, 73, , , 26, 18, 33
2020/10/9, 84, , , 43, 22, 37
2020/10/10, 90, , , 54, 23, 35
2020/10/11, 129, , , 64, 29, 37
2020/10/12, 111, , , 80, 32, 43
2020/10/13, 137, , , 80, 26, 43
2020/10/14, 130, , , 75, 29, 41
2020/10/15, 128, , , 75, 27, 44
2020/10/16, 147, , , 84, 30, 38
2020/10/17, 127, , , 106, 22, 40
2020/10/18, 112, , , 118, 22, 46
2020/10/19, 138, , , 109, 36, 69
2020/10/20, 158, , , 111, 22, 47
2020/10/21, 118, , , 101, 27, 34
2020/10/22, 122, , , 97, 18, 32
2020/10/23, 125, , , 97, 20, 30
2020/10/24, 105, , , 104, 27, 34
2020/10/25, 115, , , 113, 47, 34
2020/10/26, 124, , , 111, 30, 35
2020/10/27, 128, , , 110, 24, 37
2020/10/28, 123, , , 106, 25, 33
2020/10/29, 93, , , 104, 21, 31
2020/10/30, 103, , , 120, 32, 42
2020/10/31, 146, , , 116, 32, 41
2020/11/1, 122, , , 120, 43, 45
2020/11/2, 145, , , 99, 29, 35
2020/11/3, 143, , , 101, 25, 39
2020/11/4, 114, , , 87, 25, 40
2020/11/5, 112, , , 52, 18, 33
2020/11/6, 115, , , 42, 27, 28
2020/11/7, 117, , , 17, 19, 27
2020/11/8, 80, , , 27, 26, 29
2020/11/9, 87, , , 36, 24, 28
2020/11/10, 139, , , 32, 18, 29
2020/11/11, 109, , , 24, 17, 29
2020/11/12, 90, , , 14, 17, 23
2020/11/13, 99, , , 23, 19, 31
2020/11/14, 85, , , 29, 24, 35
2020/11/15, 103, , , 29, 23, 30
2020/11/16, 99, , , 26, 25, 28
2020/11/17, 98, , , 31, 31, 32
2020/11/18, 126, , , 25, 24, 29
2020/11/19, 114, , , 16, 14, 26
2020/11/20, 61, , , 19, 17, 27
2020/11/21, 366, , , 15, 25, 30
2020/11/22, 41, , , 16, 38, 31
2020/11/23, 111, , , 19, 30, 32
2020/11/24, 66, , , 19, 30, 31
2020/11/25, 70, , , 21, 29, 33
2020/11/26, 96, , , 22, 22, 34
2020/11/27, 71, , , 22, 31, 31
2020/11/28, 71, , , 17, 23, 27
2020/11/29, 79, , , 26, 20, 32
2020/11/30, 123, , , 28, 27, 32
2020/12/1, 151, , , 36, 44, 33
2020/12/2, 160, , , 27, 30, 32
2020/12/3, 162, , , 21, 37, 33
2020/12/4, 97, , , 30, 26, 36
2020/12/5, 152, , , 15, 21, 27
2020/12/6, 72, , , 12, 20, 37
2020/12/7, 138, , , 5, 22, 35
2020/12/8, 111, , , 12, 28, 31
2020/12/9, 129, , , 54, 25, 37
2020/12/10, 128, , , 39, 21, 32
2020/12/11, 91, , , 44, 32, 34
2020/12/12, 74, , , 48, 29, 32
2020/12/13, 155, , , 48, 30, 35
2020/12/14, 161, , , 27, 30, 29
2020/12/15, 142, , , 16, 30, 31
2020/12/16, 157, , , 18, 30, 33
2020/12/17, 178, , , 13, 30, 27
2020/12/18, 169, , , 14, 24, 32
2020/12/19, 126, , , 12, 29, 36
2020/12/20, 147, , , 13, 27, 33
2020/12/21, 130, , , 15, 33, 31
2020/12/22, 163, , , 15, 36, 29
2020/12/23, 170, , , 17, 25, 27
2020/12/24, 94, , , 14, 21, 24
2020/12/26, 124, , , 58, 36, 43
2020/12/27, 162, , , 56, 36, 38
2020/12/28, 157, , , 58, 34, 35
2020/12/29, 157, , , 83, 41, 37
2020/12/30, 186, , , 72, 34, 42
2020/12/31, 180, , , 60, 33, 38
2021/1/1, 175, , , 75, 33, 40
2021/1/2, 175, , , 70, 32, 39
2021/1/3, 176, , , 46, 28, 30
2020/7/1, 121, , , 9, 23, 16
2020/7/2, 99, , , 9, 19, 17
2020/7/3, 108, , , 13, 22, 20
2020/7/4, 112, , , 7, 18, 17
2020/7/5, 113, , , 12, 18, 23
2020/7/6, 85, , , , 24, 26
2020/7/7, 102, , , , 21, 20
2020/7/8, 79, , , , 20, 21
2020/7/9, 86, , , , 18, 18
2020/7/10, 94, , , , 22, 21
2020/7/11, 95, , , , 19, 15
2020/7/12, 90, , , 16, 17, 17
2020/7/13, 70, , , 17, 20, 17
2020/7/14, 87, , , 55, 20, 21
2020/7/15, 93, , , 76, 19, 14
2020/7/16, 76, , , 67, 19, 14
2020/7/17, 72, , , 92, 23, 22
2020/7/18, 74, , , 87, 26, 21
2020/7/19, 80, , , 56, 26, 27
2020/7/20, 91, , , 52, 22, 33
2020/7/21, 80, , , 59, 18, 27
2020/7/22, 70, , , 56, 22, 26
2020/7/23, 90, , , 39, 20, 23
2020/7/24, 86, , , 36, 19, 17
2020/7/25, 80, , , 51, 22, 18
2020/7/26, 84, , , 51, 24, 22
2020/7/27, 78, , , 52, 22, 23
2020/7/28, 87, , , 58, 19, 24
2020/7/29, 82, , , 52, 21, 20
2020/7/30, 104, , , 25, 16, 12
2020/7/31, 83, , , 26, 16, 15
2020/8/1, 57, , , 52, 17, 30
2020/8/2, 87, , , 50, 21, 26
2020/8/3, 93, , , 28, 20, 20
2020/8/4, 73, , , 34, 20, 18
2020/8/5, 76, , , 58, 17, 19
2020/8/6, 74, , , 46, 15, 19
2020/8/7, 63, , , 54, 17, 17
2020/8/8, 58, , , 87, 28, 21
2020/8/9, 80, , , 92, 23, 26
2020/8/10, 80, , , 87, 31, 24
2020/8/11, 108, , , 91, 25, 21
2020/8/12, 98, , , 81, 23, 22
2020/8/13, 89, , , 63, 21, 19
2020/8/14, 98, , , 64, 26, 15
2020/8/15, 103, , , 51, 26, 16
2020/8/16, 87, , , 75, 25, 19
2020/8/17, 84, , , 69, 23, 18
2020/8/18, 69, , , 85, 23, 21
2020/8/19, 89, , , 96, 24, 29
2020/8/20, 103, , , 83, 25, 20
2020/8/21, 95, , , 90, 29, 28
2020/8/22, 94, , , 61, 20, 14
2020/8/23, 84, , , 56, 21, 17
2020/8/24, 90, , , 62, 25, 18
2020/8/25, 75, , , 46, 30, 20
2020/8/26, 80, , , 6, 25, 20
