date, pm25, pm10, o3, no2, so2, co
2024/1/19, 127, 77, , 78, 33, 61
2024/1/20, 154, 78, , 76, 36, 41
2024/1/21, 152, 69, , , 32, 36
2024/1/22, 120, 71, , 110, 42, 28
2024/1/23, 128, 60, , 58, 14, 21
2024/1/24, 143, 60, , 75, 14, 29
2024/1/25, 128, 57, , 78, 30, 39
2024/1/26, 112, 66, , 83, 34, 23
2024/1/29, 54, , , , , 
2024/1/31, 100, , , , , 
2024/2/3, 96, 58, , 72, 21, 26
2024/2/4, 119, , , , , 
2024/2/6, 82, 26, , 48, 11, 11
2024/2/7, 60, 47, , 81, 20, 32
2024/2/8, 92, , , , , 
2024/2/10, 122, 64, , 93, 49, 34
2024/2/11, 108, 80, , 97, 28, 60
2024/2/12, 154, 80, , 105, 27, 58
2024/2/13, 150, 88, , 103, 30, 62
2024/2/14, 157, 80, , 94, 29, 41
2024/2/15, 149, 57, , 74, 17, 22
2024/2/16, 93, , , 57, 15, 25
2024/2/17, 80, 33, , 61, 12, 18
2024/2/18, 71, 49, , 48, 18, 20
2024/2/19, 89, 58, , 53, 17, 21
2024/2/20, 121, 64, , 58, 16, 29
2024/2/21, 146, 64, , 54, 15, 24
2024/2/22, 150, 62, , 52, 19, 26
2024/2/23, 135, 63, , 50, 23, 29
2024/2/24, 123, 64, , 59, 23, 22
2024/2/25, 109, 42, , 40, 11, 15
2024/2/26, 69, 46, , 40, 15, 18
2024/2/27, 80, 48, , 37, 19, 16
2024/2/28, 88, 49, , 32, 23, 19
2024/2/29, 95, 59, , , 39, 30
2024/3/1, 101, 55, , , 31, 25
2024/3/2, 102, 67, , 95, 22, 27
2024/3/3, 123, 72, , 87, 21, 26
2024/3/4, 147, 68, , 65, 16, 15
2024/3/5, 149, 70, , 73, 17, 22
2024/3/6, 151, 63, , 87, 30, 33
2024/3/7, 109, 49, , 75, 38, 33
2024/3/8, 83, 51, , 67, 30, 23
2024/3/9, 85, 41, , 67, 19, 22
2024/3/12, 95, 77, , 68, 21, 23
2024/3/13, 154, 71, , 96, 20, 39
2024/3/14, 125, 58, , 91, 14, 28
2024/3/15, 91, 49, , 66, 10, 22
2024/3/16, 65, 41, , 63, 13, 21
2024/3/17, 58, 57, , 83, 29, 60
2024/3/18, 77, 53, , 68, 17, 33
2024/3/19, 72, 36, , 55, 14, 28
2024/3/20, 56, 17, , 41, 7, 8
2024/3/21, 30, 30, , 62, 14, 37
2024/3/22, 57, 29, , 67, 11, 17
2024/3/23, 52, 34, , 66, 15, 46
2024/3/24, 52, 43, , 46, 10, 18
2024/3/25, 43, 27, , 49, 8, 15
2024/3/26, 49, 51, , 49, 9, 10
2024/3/27, 57, 34, , 46, 9, 9
2024/3/28, 55, 29, , 58, 12, 16
2024/3/29, 53, 37, , 66, 24, 32
2024/3/30, 63, 51, , 81, 24, 38
2024/3/31, 82, 39, , 68, 23, 20
2023/10/2, 100, 75, , 42, 35, 56
2023/10/3, 95, 74, , 36, 16, 18
2023/10/4, 88, 70, , 36, 17, 16
2023/10/5, 78, 56, , 31, 14, 12
2023/10/6, 70, 56, , 30, 15, 15
2023/10/7, 97, 60, , 38, 26, 45
2023/10/8, 123, 74, , 47, 27, 53
2023/10/9, 113, 73, , 49, 29, 49
2023/10/10, 119, 73, , 54, 41, 55
2023/10/11, 94, 62, , 34, 26, 29
2023/10/12, 86, 63, , 34, 19, 23
2023/10/13, 102, 57, , 30, 18, 16
2023/10/14, 120, 67, , 35, 19, 30
2023/10/15, 102, 71, , 40, 27, 31
2023/10/16, 141, 89, , 49, 26, 43
2023/10/17, 99, 60, , 42, 19, 27
2023/10/18, 89, 60, , 40, 19, 31
2023/10/19, 93, 65, , 39, 28, 44
2023/10/20, 97, 63, , 38, 27, 50
2023/10/21, 99, 67, , 46, 25, 40
2023/10/22, 112, 79, , 47, 28, 49
2023/10/23, 110, 79, , 39, 29, 51
2023/10/24, 106, 80, , 40, 28, 48
2023/10/25, 111, 81, , 48, 27, 45
2023/10/26, 118, 76, , 59, 25, 51
2023/10/27, 117, 70, , 58, 34, 73
2023/10/28, 117, 72, , 57, 31, 65
2023/10/31, 116, 117, , 45, 29, 27
2023/11/1, 120, 90, , 46, 28, 62
2023/11/2, 137, 121, , 34, 17, 23
2023/11/3, 122, 85, , 36, 13, 19
2023/11/4, 144, 72, , 39, 12, 26
2023/11/5, 144, 71, , 41, 13, 30
2023/11/6, 149, 75, , 51, 18, 37
2023/11/7, 126, 71, , 60, 27, 61
2023/11/8, 118, 74, , 57, 21, 50
2023/11/9, 119, 74, , 46, 19, 39
2023/11/10, 118, 74, , 42, 21, 60
2023/11/11, 122, 74, , 46, 21, 41
2023/11/12, 128, 79, , 45, 24, 43
2023/11/13, 152, 96, , 74, 27, 68
2023/11/14, 163, 116, , 72, 39, 70
2023/11/15, 165, 118, , 65, 53, 73
2023/11/16, 156, 111, , 58, 31, 54
2023/11/17, 107, 94, , 45, 26, 64
2023/11/18, 91, , , 39, 20, 48
2023/11/19, 92, , , 43, 23, 58
2023/11/20, 92, 61, , 42, 19, 36
2023/11/21, 74, 44, , 33, 10, 19
2023/11/22, 58, 29, , 28, 9, 15
2023/11/23, 108, 64, , 42, 18, 47
2023/11/24, 153, 84, , 42, 33, 39
2023/11/25, 158, 89, , 63, 40, 56
2023/11/26, 167, 112, , 68, 35, 63
2023/11/27, 165, 115, , 69, 42, 98
2023/11/28, 133, 88, , 64, 35, 79
2023/11/29, 82, 53, , 59, 19, 30
2023/11/30, 110, 65, , 79, 20, 42
2023/12/1, 149, 83, , 95, 22, 63
2023/12/2, 163, 98, , 106, 30, 69
2023/12/3, 168, 108, , 114, 34, 76
2023/12/4, 171, 113, , 113, 45, 83
2023/12/5, 180, 129, , 117, 50, 98
2023/12/6, 162, 98, , 111, 39, 74
2023/12/7, 161, 93, , 102, 50, 57
2023/12/8, 126, 71, , 93, 23, 45
2023/12/11, 101, 66, , 94, 28, 37
2023/12/12, 131, 79, , 100, 27, 33
2023/12/13, 123, 75, , 70, 23, 22
2023/12/14, 123, 73, , 66, 17, 20
2023/12/16, 131, 70, , 88, 22, 46
2023/12/17, 157, 87, , 106, 56, 54
2023/12/18, 161, 91, , 99, 64, 40
2023/12/19, 155, 86, , 84, 25, 21
2023/12/20, 132, 69, , 67, 22, 25
2023/12/21, 144, 74, , 68, 22, 29
2023/12/22, 133, 69, , 76, 30, 27
2023/12/23, 157, 88, , 96, 44, 41
2023/12/24, 154, 86, , 100, 37, 40
2023/12/25, 70, 44, , 75, 16, 21
2023/12/26, 54, 33, , 48, 24, 13
2023/12/27, 94, 65, , 88, 40, 55
2023/12/28, 108, 76, , 81, 43, 60
2023/12/29, 110, 67, , 69, 34, 37
2023/12/30, 108, 64, , 63, 19, 32
2023/12/31, 131, 76, , 68, 33, 32
2023/7/1, 102, 91, , 56, 14, 19
2023/7/2, 100, 89, 74, 61, 19, 
2023/7/3, 123, 107, 61, 65, 15, 42
2023/7/4, 139, 93, 58, 60, 18, 24
2023/7/5, 125, 87, 53, 37, 13, 19
2023/7/6, 110, 76, 50, 36, 17, 
2023/7/7, 101, 61, , 41, 21, 24
2023/7/8, 94, 60, 53, 43, 16, 20
2023/7/9, 86, 61, , 48, 14, 
2023/7/10, 87, 70, 53, 52, 24, 
2023/7/11, 99, 93, 76, 54, , 
2023/7/12, 114, 104, 76, 46, , 
2023/7/13, 123, 92, 58, 45, , 16
2023/7/14, 121, 92, 58, 39, , 17
2023/7/15, 120, 103, 66, 48, , 17
2023/7/16, 130, 146, , , 18, 28
2023/7/17, 152, 182, , , 16, 19
2023/7/18, 153, 148, , , 16, 23
2023/7/19, 150, , 64, 56, 17, 43
2023/7/20, 156, , 64, 46, 15, 
2023/7/21, 156, , , 45, 16, 
2023/7/22, 129, , , 59, 17, 
2023/7/23, 110, , , 47, 17, 
2023/7/24, 106, , , , , 
2023/7/27, 145, 91, 66, 76, 24, 72
2023/7/28, 135, 85, , 64, 28, 
2023/7/29, 123, 81, , 63, 20, 11
2023/7/30, 115, 75, , 47, 30, 28
2023/7/31, 104, 86, , 55, 20, 18
2023/8/1, 101, , , 53, 21, 50
2023/8/2, 98, , , 44, 15, 
2023/8/3, 101, , , 41, 14, 23
2023/8/4, 102, , , 54, 19, 33
2023/8/5, 96, , , 57, 16, 
2023/8/6, 102, 73, , 52, 19, 26
2023/8/7, 110, 72, , 60, 18, 17
2023/8/8, 111, 61, 76, 72, 16, 26
2023/8/9, 109, 64, 76, 71, 18, 35
2023/8/10, 119, 73, 59, 69, 28, 53
2023/8/11, 121, , , , , 
2023/8/14, 98, 75, 81, 59, 26, 21
2023/8/15, 98, 75, 81, 57, 23, 32
2023/8/16, 100, 77, 75, 63, 26, 46
2023/8/17, 117, , , , , 
2023/8/20, 99, , , , , 
2023/8/22, 113, 80, 61, 64, 24, 58
2023/8/23, 118, , , , , 
2023/8/27, 155, 106, 53, 37, 23, 11
2023/8/28, 111, 75, 62, 57, 28, 37
2023/8/29, 98, 86, 62, 50, 19, 22
2023/8/30, 110, 129, , 49, 17, 21
2023/8/31, 126, 77, 64, 53, 17, 
2023/9/1, 105, 80, 69, 58, 29, 56
2023/9/2, 113, 77, 69, 60, 25, 32
2023/9/3, 106, , , , , 
2023/9/18, 97, 99, , 45, 27, 29
2023/9/19, 106, 100, , 46, 32, 33
2023/9/20, 111, 82, , 41, 37, 40
2023/9/21, 113, 74, , 37, 30, 35
2023/9/22, 105, 62, , 39, 19, 18
2023/9/23, 92, 65, , 38, 35, 14
2023/9/24, 90, , , , , 
2023/4/1, 58, 36, , 45, 9, 8
2023/4/2, 55, 46, , 61, 12, 13
2023/4/3, 74, 39, , 67, 15, 26
2023/4/4, 74, 44, , 65, 15, 36
2023/4/5, 77, 59, , 81, 21, 69
2023/4/6, 84, 59, , 65, 12, 16
2023/4/7, 80, 51, , 67, 24, 16
2023/4/8, 76, 79, , 66, 13, 19
2023/4/9, 92, 81, , 65, 15, 33
2023/4/10, 99, 84, , 67, 16, 32
2023/4/11, 107, 76, , 68, 12, 26
2023/4/12, 101, 46, , 58, 10, 15
2023/4/13, 80, 49, , 56, 12, 25
2023/4/14, 73, 28, , 53, 10, 9
2023/4/15, 66, 48, , 76, 15, 37
2023/4/16, 90, 58, , 78, 18, 33
2023/4/17, 96, 65, , 95, 17, 31
2023/4/18, 103, 65, , 77, 13, 30
2023/4/19, 95, 74, 50, 90, 19, 54
2023/4/20, 106, , 61, 84, 18, 48
2023/4/21, 96, , 61, 67, 12, 14
2023/4/22, 85, , , 52, 13, 24
2023/4/23, 84, , , 52, 13, 29
2023/4/24, 87, 54, , 69, 11, 18
2023/4/25, 88, , , 60, 11, 12
2023/4/26, 84, 61, 50, 68, 12, 25
2023/4/27, 83, 57, 61, 68, 17, 22
2023/4/28, 90, 48, 61, 72, 15, 27
2023/4/29, 84, 49, 51, 95, 12, 20
2023/4/30, 79, 52, , 61, 12, 11
2023/5/1, 77, 49, , 61, 14, 31
2023/5/2, 74, 43, , 69, 15, 21
2023/5/3, 72, 46, , 59, 12, 12
2023/5/4, 69, 42, , 51, 12, 17
2023/5/5, 66, 43, 52, 62, 14, 25
2023/5/6, 73, 56, 55, 91, 19, 44
2023/5/7, 90, 57, 55, 100, 21, 62
2023/5/8, 90, 70, , 88, 18, 27
2023/5/9, 95, 72, , 72, 21, 12
2023/5/10, 111, 64, , 72, 14, 35
2023/5/11, 102, 59, 69, 91, 26, 56
2023/5/12, 114, 55, 69, 102, 23, 46
2023/5/13, 106, 65, , 74, 14, 14
2023/5/14, 103, , , 62, 15, 
2023/5/15, 136, , , , , 
2023/5/18, 99, 66, 60, , 11, 34
2023/5/19, 101, 61, 60, , 13, 31
2023/5/20, 95, 73, 57, , 10, 11
2023/5/21, 98, 57, 57, , 11, 18
2023/5/22, 95, 66, , , 18, 48
2023/5/23, 119, 71, 60, , 12, 49
2023/5/24, 123, 70, 60, , 13, 43
2023/5/25, 115, 71, 60, , 10, 15
2023/5/26, 108, 53, 60, , 10, 10
2023/5/27, 95, 71, 56, , 12, 19
2023/5/28, 111, 87, 56, , 14, 55
2023/5/29, 136, , , , , 
2023/6/11, 97, 61, 65, 75, 17, 60
2023/6/12, 102, 77, 59, 72, 15, 25
2023/6/13, 129, 69, 58, 60, 14, 19
2023/6/14, 121, 70, 60, 63, 15, 25
2023/6/15, 113, 69, 61, 62, 16, 54
2023/6/16, 115, 63, 61, 72, 12, 21
2023/6/17, 106, 58, 56, 83, 16, 25
2023/6/19, 101, 79, 68, 81, 22, 39
2023/6/20, 114, 73, 74, 91, 27, 50
2023/6/21, 119, 64, 88, 62, 15, 27
2023/6/22, 101, 73, 88, 88, 26, 62
2023/6/23, 120, 106, 67, 55, 16, 32
2023/6/24, 122, 127, , 53, 14, 18
2023/6/25, 134, 121, , 53, 14, 28
2023/6/26, 134, , 72, 63, 17, 49
2023/6/27, 138, , 75, 82, 33, 75
2023/6/28, 139, , 75, 94, 22, 47
2023/6/29, 125, , 87, 88, 21, 72
2023/6/30, 112, , 87, 61, 17, 37
2023/1/2, 170, 118, , 111, 46, 
2023/1/3, 165, , , 109, 41, 
2023/1/4, 184, 87, , 94, 28, 
2023/1/5, 191, 78, , 79, 18, 
2023/1/6, 160, 76, , 63, 25, 
2023/1/7, 155, 53, , 64, 20, 
2023/1/8, 98, 49, , 66, 23, 33
2023/1/9, 96, 55, , 52, 21, 26
2023/1/10, 118, , , 46, 34, 16
2023/1/11, 138, 40, , 51, 24, 15
2023/1/12, 112, 34, , 50, 21, 9
2023/1/13, 84, 43, , 51, 21, 15
2023/1/14, 91, 53, , 63, 22, 15
2023/1/15, 109, 58, , 95, 38, 48
2023/1/16, 149, , , 107, 40, 59
2023/1/17, 178, , , 107, 42, 63
2023/1/18, 179, 103, , 103, 44, 65
2023/1/19, 168, 92, , 89, 36, 61
2023/1/20, 160, 94, , 80, 32, 36
2023/1/21, 164, 102, , 78, 47, 54
2023/1/22, 169, 93, , 71, 63, 52
2023/1/23, 167, 100, , 62, 61, 49
2023/1/24, 169, 97, , 61, 53, 47
2023/1/25, 167, 97, , , 46, 23
2023/1/26, 169, 81, , 106, 31, 18
2023/1/27, 157, , , 108, 31, 32
2023/1/28, 155, 86, , 102, 48, 41
2023/1/29, 154, 67, , 77, 43, 27
2023/1/30, 128, , , 64, , 
2023/1/31, 90, , , 66, , 30
2023/2/1, 83, , , 74, 18, 33
2023/2/2, 90, 34, , 66, 11, 16
2023/2/3, 78, 36, , 49, 5, 15
2023/2/4, 62, 53, , 69, 11, 30
2023/2/5, 89, 55, , 68, 16, 31
2023/2/6, 84, 57, , 57, 12, 15
2023/2/7, 83, 47, , 47, 9, 18
2023/2/8, 72, 34, , 43, 10, 19
2023/2/9, 70, 31, , 42, 14, 15
2023/2/10, 70, 41, , 48, 24, 16
2023/2/11, 79, 38, , 43, 10, 13
2023/2/12, 77, 47, , 60, 13, 24
2023/2/13, 109, 105, , 78, 19, 58
2023/2/14, 173, 84, , 79, 13, 22
2023/2/15, 165, 68, , 96, 9, 30
2023/2/16, 154, 44, , 71, 9, 14
2023/2/17, 85, 67, , 101, 15, 49
2023/2/18, 106, 69, , 103, 21, 41
2023/2/19, 111, 55, , 92, 14, 23
2023/2/20, 82, 66, , 102, 12, 38
2023/2/21, 97, 57, , 87, 14, 14
2023/2/22, 78, 53, , 69, 18, 17
2023/2/23, 77, 58, , 81, 17, 42
2023/2/24, 83, 64, , 73, 16, 31
2023/2/25, 87, 75, , 73, 15, 23
2023/2/26, 107, 78, , 91, 19, 50
2023/2/27, 116, 73, , 101, 21, 42
2023/2/28, 115, 75, , 103, 22, 50
2023/3/1, 121, 78, , 104, 26, 61
2023/3/2, 135, 69, , 94, 21, 47
2023/3/3, 116, 64, , 79, 20, 42
2023/3/4, 99, 67, , 69, 18, 40
2023/3/5, 102, 68, , 78, 26, 40
2023/3/6, 96, 70, , 79, 25, 63
2023/3/7, 101, 59, , 72, 18, 61
2023/3/8, 101, 48, , 68, 14, 22
2023/3/9, 116, 47, , 57, 17, 49
2023/3/12, 130, 73, , 102, 20, 46
2023/3/13, 122, 54, , 81, 17, 21
2023/3/14, 94, 62, , 71, 18, 23
2023/3/15, 132, 48, , 68, 13, 18
2023/3/16, 79, 41, , 82, 11, 25
2023/3/17, 68, 33, , 55, 11, 15
2023/3/18, 71, 51, , 71, 13, 50
2023/3/19, 84, 47, , 73, 21, 39
2023/3/20, 79, 38, , 67, 16, 23
2023/3/21, 69, 30, , 41, 11, 
2023/3/22, 60, 27, , 51, 11, 20
2023/3/23, 65, 37, , 57, 14, 15
2023/3/24, 92, 48, , 68, 15, 49
2023/3/25, 101, 61, 52, 82, 19, 32
2023/3/26, 136, , , , , 
2023/3/28, 76, 32, , 55, 16, 20
2023/3/29, 75, 31, , 61, 15, 22
2023/3/30, 67, 42, , 65, 16, 50
2023/3/31, 66, 44, , 48, 11, 8
2022/10/27, 154, , , 100, 22, 
2022/10/28, 155, , , 99, 18, 
2022/10/29, 152, , , , , 
2022/11/7, 117, , , 74, 21, 
2022/11/8, 115, 42, , 55, 15, 
2022/11/9, 96, 67, , 86, 13, 
2022/11/10, 138, 77, , 104, 13, 
2022/11/11, 166, 73, , 100, 16, 
2022/11/15, 151, 71, , 98, 23, 
2022/11/16, 153, 66, , 88, 14, 
2022/11/17, 153, 55, , 69, 12, 
2022/11/20, 162, 94, , 106, 30, 
2022/11/21, 159, 81, , 105, 23, 
2022/11/22, 151, 80, , 107, 21, 
2022/11/23, 151, , , , , 
2022/11/25, 160, 76, , 104, 22, 
2022/11/26, 137, 62, , 103, 8, 
2022/11/27, 98, 52, , 105, 8, 
2022/11/28, 80, 70, , 99, 8, 
2022/11/29, 102, 77, , 101, 10, 
2022/11/30, 114, 65, , 102, 7, 
2022/12/1, 95, 72, , 86, 7, 
2022/12/2, 115, 49, , 63, 8, 
2022/12/3, 87, 48, , 65, 6, 
2022/12/4, 84, 30, , 51, 6, 
2022/12/6, 79, 67, , 63, 8, 
2022/12/7, 100, 80, , 77, 9, 
2022/12/8, 143, , , 77, 10, 
2022/12/9, 154, , , , , 
2022/12/12, 131, 88, , 90, 14, 
2022/12/13, 149, 132, , 105, 27, 
2022/12/14, 168, 140, , 107, 35, 
2022/12/15, 173, 116, , 101, 21, 
2022/12/16, 162, 106, , 103, 13, 
2022/12/17, 159, 100, , 89, 10, 
2022/12/18, 148, 89, , 94, 8, 
2022/12/19, 149, 80, , 102, 11, 
2022/12/20, 129, 82, , 85, 10, 
2022/12/21, 124, 53, , 66, 9, 
2022/12/22, 81, 55, , 71, 9, 
2022/12/23, 79, 43, , 67, 8, 
2022/12/24, 72, 41, , 74, 6, 
2022/12/25, 86, , , 89, 11, 
2022/12/26, 137, 65, , 80, 24, 
2022/12/27, 121, 65, , 75, 21, 
2022/12/28, 118, 75, , 93, 39, 
2022/12/29, 125, 98, , 94, 49, 
2022/12/30, 155, 95, , 84, 42, 
2022/12/31, 159, 115, , 100, 53, 
2023/1/1, 164, 129, , 107, 63, 
2022/9/4, 128, , 75, 109, 30, 
2022/9/5, 118, , 75, 109, 29, 
2022/9/6, 125, , 57, 102, 30, 
2022/9/7, 112, , , 92, 33, 
2022/9/8, 129, , 55, 100, 23, 
2022/9/9, 132, , 79, 102, 29, 
2022/9/10, 136, , 79, 89, 18, 
2022/9/11, 143, , 63, 77, 18, 
2022/9/12, 117, , 54, 77, 17, 
2022/9/13, 115, , 54, 97, 36, 
2022/9/14, 125, , , 99, 30, 
2022/9/15, 149, , 54, 90, 17, 
2022/9/16, 128, , 62, 80, 24, 
2022/9/17, 111, , 63, 91, 32, 
2022/9/18, 122, , 72, 94, 26, 
2022/9/19, 122, , 72, 96, 38, 
2022/9/20, 139, , , 91, 21, 
2022/9/21, 121, , , 93, 23, 
2022/9/22, 131, , , , , 
2022/4/4, 86, 60, , 53, 10, 
2022/4/5, 225, 67, , 45, 10, 
2022/4/6, 66, 52, , 40, 8, 
2022/4/7, 121, 69, , 41, 10, 
2022/4/8, 161, 381, , 19, 9, 
2022/4/9, 181, 202, , 48, 15, 
2022/4/10, 127, 106, , 28, 8, 
2022/4/11, 89, 67, , 42, 13, 
2022/4/12, 129, 80, , 44, 11, 
2022/4/13, 141, 90, , 41, 16, 
2022/4/14, 81, 55, , 57, 8, 
2022/4/18, 72, 42, , 59, 13, 
2022/4/19, 121, 45, 58, 63, 36, 
2022/4/20, 136, 66, 58, 84, 46, 
2022/4/21, 152, 82, , 93, 24, 
2022/4/22, 121, 64, , 64, 16, 
2022/4/29, 122, 59, , 63, 13, 
2022/4/30, 113, 48, , 53, 15, 
2022/5/3, 116, 68, 51, 41, 15, 
2022/5/4, 110, 52, , 48, 13, 
2022/5/10, 76, 44, 50, 61, 20, 
